x,y,frequency,match_id,account_id
124,128,1,4070356125,82262664
124,132,1,4070356125,82262664
124,130,1,4070356125,82262664
124,134,4,4070356125,82262664
102,152,1,4070356125,82262664
102,154,4,4070356125,82262664
102,140,5,4070356125,82262664
102,156,4,4070356125,82262664
102,158,3,4070356125,82262664
102,164,1,4070356125,82262664
102,160,1,4070356125,82262664
102,162,2,4070356125,82262664
90,144,3,4070356125,82262664
90,142,6,4070356125,82262664
90,154,2,4070356125,82262664
90,140,1,4070356125,82262664
90,156,1,4070356125,82262664
90,128,1,4070356125,82262664
90,148,2,4070356125,82262664
90,132,1,4070356125,82262664
90,136,2,4070356125,82262664
90,164,2,4070356125,82262664
90,166,2,4070356125,82262664
90,138,3,4070356125,82262664
100,150,1,4070356125,82262664
100,152,3,4070356125,82262664
100,142,5,4070356125,82262664
100,140,1,4070356125,82262664
100,158,1,4070356125,82262664
100,168,1,4070356125,82262664
100,164,1,4070356125,82262664
100,166,1,4070356125,82262664
100,160,1,4070356125,82262664
92,146,1,4070356125,82262664
92,142,7,4070356125,82262664
92,140,2,4070356125,82262664
92,156,1,4070356125,82262664
92,158,1,4070356125,82262664
92,148,1,4070356125,82262664
92,130,1,4070356125,82262664
92,168,1,4070356125,82262664
92,164,1,4070356125,82262664
106,150,1,4070356125,82262664
106,138,1,4070356125,82262664
106,136,3,4070356125,82262664
106,148,1,4070356125,82262664
94,142,3,4070356125,82262664
94,140,1,4070356125,82262664
94,156,1,4070356125,82262664
94,158,1,4070356125,82262664
94,148,1,4070356125,82262664
94,166,4,4070356125,82262664
104,150,1,4070356125,82262664
104,152,1,4070356125,82262664
104,154,1,4070356125,82262664
104,140,1,4070356125,82262664
104,158,2,4070356125,82262664
104,138,4,4070356125,82262664
104,160,2,4070356125,82262664
104,162,1,4070356125,82262664
78,150,2,4070356125,82262664
78,152,3,4070356125,82262664
78,154,2,4070356125,82262664
78,156,1,4070356125,82262664
78,132,5,4070356125,82262664
78,88,1,4070356125,82262664
78,130,2,4070356125,82262664
78,136,4,4070356125,82262664
78,134,3,4070356125,82262664
78,138,5,4070356125,82262664
78,118,1,4070356125,82262664
78,106,1,4070356125,82262664
78,146,3,4070356125,82262664
78,144,2,4070356125,82262664
78,140,5,4070356125,82262664
78,148,3,4070356125,82262664
78,120,1,4070356125,82262664
78,98,1,4070356125,82262664
78,122,2,4070356125,82262664
78,124,3,4070356125,82262664
78,128,1,4070356125,82262664
78,100,1,4070356125,82262664
78,92,1,4070356125,82262664
78,160,1,4070356125,82262664
78,94,1,4070356125,82262664
78,104,1,4070356125,82262664
78,96,1,4070356125,82262664
