hero_id,num_matches_picked,num_matches_won,matches_won_perc,ancient_kills,buyback_count,camps_stacked,courier_kills,creeps_stacked,deaths,denies,hero_damage,hero_healing,hero_kills,kills,lane_kills,necronomicon_kills,neutral_kills,observer_kills,observer_uses,roshan_kills,rune_pickups,sentry_kills,sentry_uses,total_gold,total_xp,tower_damage,tower_kills,attack_type,id,localized_name,name,primary_attr,roles,carry,disabler,durable,escape,initiator,jungler,nuker,pusher,support,num_matches_banned,sum_pickbans
27,29,16,0.5517241379310345,0.3793103448275862,0.5862068965517241,0.8620689655172413,0.06896551724137931,2.3793103448275863,7.482758620689655,3.206896551724138,9744.551724137931,201.0,2.9310344827586206,2.9310344827586206,48.275862068965516,0.034482758620689655,15.586206896551724,1.4137931034482758,5.448275862068965,0.034482758620689655,4.103448275862069,2.0344827586206895,5.413793103448276,10554.172413793103,14267.586206896553,1821.344827586207,0.6551724137931034,Ranged,27,Shadow Shaman,npc_dota_hero_shadow_shaman,int,support;pusher;disabler;nuker;initiator,0,1,0,0,1,0,1,1,1,13,42
28,35,19,0.5428571428571428,1.2285714285714286,0.45714285714285713,0.6857142857142857,0.05714285714285714,2.1714285714285713,5.285714285714286,7.428571428571429,7993.542857142857,52.371428571428574,2.8857142857142857,2.8857142857142857,56.48571428571429,0.02857142857142857,16.0,0.8571428571428571,1.5142857142857142,0.0,8.485714285714286,0.4857142857142857,0.7714285714285715,10739.742857142857,13700.57142857143,261.2,0.3142857142857143,Melee,28,Slardar,npc_dota_hero_slardar,str,carry;durable;initiator;disabler;escape,1,1,1,1,1,0,0,0,0,11,46
29,39,19,0.48717948717948717,3.4615384615384617,0.358974358974359,0.6410256410256411,0.0,1.6666666666666667,4.128205128205129,6.128205128205129,11987.25641025641,797.2051282051282,2.6666666666666665,2.6666666666666665,120.12820512820512,0.1794871794871795,33.282051282051285,0.8205128205128205,0.23076923076923078,0.05128205128205128,5.128205128205129,0.3333333333333333,0.3076923076923077,14454.48717948718,18100.666666666668,965.3333333333334,0.6666666666666666,Melee,29,Tidehunter,npc_dota_hero_tidehunter,str,initiator;durable;disabler;nuker,0,1,1,0,1,0,1,0,0,32,71
30,141,68,0.48226950354609927,0.4326241134751773,0.723404255319149,1.4042553191489362,0.02127659574468085,4.631205673758865,7.212765957446808,3.4184397163120566,9718.794326241135,3883.432624113475,3.9574468085106385,3.9290780141843973,23.75886524822695,0.09219858156028368,9.46808510638298,2.382978723404255,7.23404255319149,0.0425531914893617,4.716312056737588,1.801418439716312,6.283687943262412,10545.900709219859,12454.219858156028,340.9503546099291,0.2553191489361702,Ranged,30,Witch Doctor,npc_dota_hero_witch_doctor,int,support;nuker;disabler,0,1,0,0,0,0,1,0,1,41,182
31,23,9,0.391304347826087,0.08695652173913043,0.6956521739130435,0.4782608695652174,0.0,1.2608695652173914,6.869565217391305,2.9130434782608696,12114.391304347826,208.8695652173913,3.391304347826087,3.3043478260869565,33.43478260869565,0.21739130434782608,4.695652173913044,2.739130434782609,8.0,0.0,3.0869565217391304,2.5652173913043477,6.6521739130434785,11612.869565217392,15636.434782608696,295.7826086956522,0.34782608695652173,Ranged,31,Lich,npc_dota_hero_lich,int,support;nuker,0,0,0,0,0,0,1,0,1,8,31
32,6,3,0.5,2.0,0.0,0.0,0.3333333333333333,0.0,6.0,16.333333333333332,18456.0,63.333333333333336,8.0,8.0,118.0,0.0,16.833333333333332,0.6666666666666666,1.1666666666666667,0.0,3.8333333333333335,0.8333333333333334,0.5,13792.5,17700.666666666668,393.3333333333333,0.5,Melee,32,Riki,npc_dota_hero_riki,agi,carry;escape;disabler,1,1,0,1,0,0,0,0,0,2,8
33,33,17,0.5151515151515151,3.5454545454545454,0.6060606060606061,0.7272727272727273,0.030303030303030304,1.5757575757575757,4.96969696969697,31.393939393939394,14164.666666666666,321.5151515151515,3.8484848484848486,3.757575757575758,157.0,0.0,66.15151515151516,0.36363636363636365,0.48484848484848486,0.030303030303030304,3.878787878787879,0.42424242424242425,0.2727272727272727,18308.060606060608,17695.090909090908,2558.939393939394,1.4545454545454546,Ranged,33,Enigma,npc_dota_hero_enigma,int,disabler;jungler;initiator;pusher,0,1,0,0,1,1,0,1,0,51,84
34,28,12,0.42857142857142855,4.535714285714286,0.9642857142857143,2.7857142857142856,0.0,6.964285714285714,4.785714285714286,13.535714285714286,44453.32142857143,273.2857142857143,8.214285714285714,8.25,321.07142857142856,0.32142857142857145,94.89285714285714,0.25,0.2857142857142857,0.17857142857142858,4.928571428571429,0.10714285714285714,0.39285714285714285,28011.571428571428,26535.535714285714,57.857142857142854,0.10714285714285714,Ranged,34,Tinker,npc_dota_hero_tinker,int,carry;nuker;pusher,1,0,0,0,0,0,1,1,0,40,68
35,9,3,0.3333333333333333,16.88888888888889,0.8888888888888888,0.4444444444444444,0.1111111111111111,1.0,5.222222222222222,17.77777777777778,32462.11111111111,0.0,9.444444444444445,9.444444444444445,243.0,0.0,79.33333333333333,1.0,0.3333333333333333,0.3333333333333333,4.444444444444445,0.6666666666666666,0.3333333333333333,24614.444444444445,23741.0,3386.6666666666665,1.7777777777777777,Ranged,35,Sniper,npc_dota_hero_sniper,agi,carry;nuker,1,0,0,0,0,0,1,0,0,2,11
36,60,26,0.43333333333333335,3.533333333333333,0.7666666666666667,0.7166666666666667,0.0,1.8,5.266666666666667,13.45,19388.966666666667,4196.016666666666,7.4,7.216666666666667,177.6,0.18333333333333332,55.56666666666667,0.65,0.35,0.16666666666666666,3.1333333333333333,0.7666666666666667,0.3,18342.916666666668,19438.7,1545.9666666666667,1.0,Ranged,36,Necrophos,npc_dota_hero_necrolyte,int,carry;nuker;durable;disabler,1,1,1,0,0,0,1,0,0,114,174
