active_team,extra_time,hero_id,match_id,order,pick,player_slot,total_time_taken
2,66,69,3961217248,22,True,2.0,55
2,130,91,3961219376,1,False,,30
3,130,37,3961219376,2,False,,35
2,130,66,3961219376,3,False,,28
3,130,60,3961219376,4,False,,22
2,130,38,3961219376,5,False,,59
3,107,89,3961219376,6,False,,28
2,130,69,3961219376,7,True,2.0,4
3,130,77,3961219376,8,True,9.0,14
3,107,3,3961219376,9,True,7.0,38
2,107,12,3961219376,10,True,0.0,33
2,127,52,3961219376,11,False,,30
3,107,103,3961219376,12,False,,31
2,127,106,3961219376,13,False,,43
3,125,51,3961219376,14,False,,37
3,99,78,3961219376,15,True,5.0,1
2,125,87,3961219376,16,True,3.0,47
3,87,100,3961219376,17,True,6.0,95
2,65,29,3961219376,18,True,4.0,102
3,20,25,3961219376,19,False,,32
2,20,4,3961219376,20,False,,17
2,65,39,3961219376,21,True,1.0,9
3,65,13,3961219376,22,True,8.0,6
2,130,77,3961259644,1,False,,12
3,130,91,3961259644,2,False,,2
2,130,21,3961259644,3,False,,7
3,130,38,3961259644,4,False,,4
2,130,60,3961259644,5,False,,6
3,130,2,3961259644,6,False,,3
2,130,101,3961259644,7,True,0.0,19
3,130,16,3961259644,8,True,8.0,9
3,130,52,3961259644,9,True,5.0,39
2,97,85,3961259644,10,True,2.0,68
2,126,22,3961259644,11,False,,41
3,91,41,3961259644,12,False,,2
2,126,12,3961259644,13,False,,28
3,126,23,3961259644,14,False,,7
3,91,79,3961259644,15,True,6.0,49
2,112,54,3961259644,16,True,4.0,40
3,86,8,3961259644,17,True,9.0,96
2,51,28,3961259644,18,True,1.0,79
3,43,25,3961259644,19,False,,30
2,19,49,3961259644,20,False,,59
2,51,39,3961259644,21,True,3.0,14
3,3,43,3961259644,22,True,7.0,83
2,130,37,3961276206,1,False,,32
3,130,60,3961276206,2,False,,53
2,112,69,3961276206,3,False,,62
3,103,91,3961276206,4,False,,11
2,112,77,3961276206,5,False,,31
3,103,52,3961276206,6,False,,50
2,97,51,3961276206,7,True,3.0,59
3,94,89,3961276206,8,True,7.0,38
3,79,9,3961276206,9,True,8.0,16
2,28,12,3961276206,10,True,4.0,86
2,94,106,3961276206,11,False,,26
3,28,49,3961276206,12,False,,25
2,94,108,3961276206,13,False,,34
3,94,38,3961276206,14,False,,15
3,28,87,3961276206,15,True,9.0,100
2,29,3,3961276206,16,True,0.0,31
3,28,54,3961276206,17,True,5.0,23
2,29,43,3961276206,18,True,1.0,60
3,4,78,3961276206,19,False,,15
2,4,17,3961276206,20,False,,32
2,29,104,3961276206,21,True,2.0,27
3,29,22,3961276206,22,True,6.0,11
2,130,89,3961291740,1,False,,32
2,130,99,3961291740,2,False,,1
3,130,60,3961291740,3,False,,65
2,101,91,3961291740,4,False,,3
3,130,51,3961291740,5,False,,21
2,101,77,3961291740,6,False,,6
3,130,103,3961291740,7,True,6.0,15
2,130,9,3961291740,8,True,3.0,8
2,101,38,3961291740,9,True,1.0,39
3,101,3,3961291740,10,True,5.0,29
3,127,12,3961291740,11,False,,22
2,101,43,3961291740,12,False,,3
3,127,66,3961291740,13,False,,21
2,127,41,3961291740,14,False,,3
2,101,101,3961291740,15,True,2.0,5
3,127,52,3961291740,16,True,8.0,120
2,17,88,3961291740,17,True,0.0,63
3,98,49,3961291740,18,True,7.0,28
2,17,93,3961291740,19,False,,12
3,16,46,3961291740,20,False,,36
3,98,78,3961291740,21,True,9.0,39
2,98,11,3961291740,22,True,4.0,27
