minute,radiant_gold_adv,radiant_xp_adv,match_id
55,8988,-2682,4070746269
56,10906,-4091,4070746269
1,-322,-55,4070838238
2,-494,-88,4070838238
3,-214,141,4070838238
4,-374,-79,4070838238
5,-734,-602,4070838238
6,-1003,-886,4070838238
7,-284,-1147,4070838238
8,-856,-1574,4070838238
9,-609,-1480,4070838238
10,-1142,-1684,4070838238
11,-533,-877,4070838238
12,-459,-730,4070838238
13,-1236,-792,4070838238
14,-2257,-1246,4070838238
15,-1470,-489,4070838238
16,-1424,-186,4070838238
17,-1370,978,4070838238
18,-1266,1980,4070838238
19,-1250,970,4070838238
20,-1062,1592,4070838238
21,-3,3264,4070838238
22,210,4348,4070838238
23,-5089,-3210,4070838238
24,-5651,-4079,4070838238
25,-6242,-3600,4070838238
26,-6983,-4045,4070838238
27,-7957,-3692,4070838238
28,-8426,-5968,4070838238
29,-8849,-6324,4070838238
30,-9633,-6762,4070838238
31,-10987,-10815,4070838238
32,-14122,-14369,4070838238
33,-14635,-15565,4070838238
34,-14656,-14939,4070838238
35,-15483,-14585,4070838238
36,-14637,-12257,4070838238
37,-14547,-8153,4070838238
38,-14993,-8177,4070838238
39,-15113,-8899,4070838238
40,-14518,-7951,4070838238
41,-13026,-6171,4070838238
42,-16124,-5827,4070838238
43,-15853,-7299,4070838238
44,-17337,-11380,4070838238
45,-17332,-10915,4070838238
46,-19910,-15645,4070838238
1,0,0,4072252473
2,133,227,4072252473
3,228,493,4072252473
4,-7,102,4072252473
5,152,361,4072252473
6,666,883,4072252473
7,811,408,4072252473
8,933,1271,4072252473
9,1194,1489,4072252473
10,2022,2350,4072252473
11,3143,3741,4072252473
12,3545,2641,4072252473
13,3558,4290,4072252473
14,4878,4076,4072252473
15,4142,2868,4072252473
16,4344,3042,4072252473
17,5296,5425,4072252473
18,4217,3849,4072252473
19,4280,4125,4072252473
20,4456,4358,4072252473
21,3410,2478,4072252473
22,3855,2590,4072252473
23,3882,4939,4072252473
24,4002,5167,4072252473
25,4747,7229,4072252473
26,4485,6979,4072252473
27,3478,5309,4072252473
28,5807,10227,4072252473
29,7272,15442,4072252473
30,8029,14586,4072252473
31,7000,12860,4072252473
32,6047,12461,4072252473
33,7271,14619,4072252473
34,7042,14485,4072252473
35,8891,18382,4072252473
36,8416,10962,4072252473
37,9046,8488,4072252473
38,9999,8367,4072252473
39,12138,10806,4072252473
40,9763,7284,4072252473
41,9275,6603,4072252473
42,9690,5849,4072252473
43,6383,2538,4072252473
44,3740,863,4072252473
45,-1395,-782,4072252473
1,0,0,4072354014
2,198,-228,4072354014
