account_id,ancient_kills,buyback_count,camps_stacked,courier_kills,creeps_stacked,deaths,denies,gold_per_min,hero_damage,hero_healing,hero_id,hero_kills,is_roaming,kda,kills,lane,lane_efficiency_pct,lane_kills,lane_role,match_id,necronomicon_kills,neutral_kills,observer_kills,observer_uses,player_slot,roshan_kills,rune_pickups,sentry_kills,sentry_uses,teamfight_participation,total_gold,total_xp,tower_damage,tower_kills,win,xp_per_min,player_side
88271237,0,1,0,0,0,8,2,378,16184,2484,112,5,False,1,5,3,56,81,3,4080723031,0,8,2,0,3,0,2,1,5,0.52,13015,14668,0,0,0,426,radiant
94054712,9,1,0,0,0,4,30,603,23475,0,10,8,False,2,8,2,92,244,2,4080723031,0,42,1,0,4,0,4,0,0,0.44,20763,22863,3291,4,0,664,radiant
125581247,3,0,0,0,0,3,4,592,32505,0,63,21,False,9,21,3,70,144,1,4080723031,0,49,0,1,128,1,10,1,0,0.72,20384,29233,3828,3,1,849,dire
106863163,15,0,6,0,14,0,2,939,26343,0,73,8,False,20,8,2,86,141,2,4080723031,0,182,0,1,129,0,5,0,0,0.4,32332,26375,3803,2,1,766,dire
94296097,1,1,0,0,0,9,0,261,11714,0,20,3,False,2,3,3,35,24,1,4080723031,0,3,3,6,130,0,1,4,4,0.52,8987,12602,335,0,1,366,dire
101695162,0,0,1,0,3,7,2,457,26669,2692,110,10,False,4,11,1,47,65,3,4080723031,0,21,2,3,131,0,3,1,4,0.64,15736,22416,492,0,1,651,dire
94738847,0,0,0,0,0,6,3,451,13449,116,78,7,False,2,7,1,82,116,3,4080723031,0,26,0,0,132,0,7,2,0,0.36,15529,18628,2955,0,1,541,dire
125581247,44,2,0,0,0,8,10,565,30411,0,10,16,False,3,16,3,66,323,3,4080778303,0,137,0,0,0,0,9,0,0,0.51724136,36922,37576,2334,0,0,575,radiant
106863163,17,2,2,0,5,10,18,613,64875,0,4,22,False,3,22,2,95,330,2,4080778303,0,117,2,0,1,1,7,0,0,0.7413793,40059,44241,6763,4,0,677,radiant
94296097,1,2,1,0,1,13,2,271,14910,3466,58,6,True,2,6,3,42,21,3,4080778303,0,22,4,20,2,0,8,4,5,0.5689655,17709,24898,2515,2,0,381,radiant
101695162,0,3,0,0,0,11,5,412,32810,729,100,4,True,3,4,3,35,115,3,4080778303,0,7,2,1,3,0,14,1,3,0.67241377,26924,38164,78,0,0,584,radiant
94738847,11,3,0,0,0,7,7,532,54692,68,78,10,False,5,10,1,79,268,1,4080778303,0,89,2,0,4,0,10,3,0,0.70689654,34766,42281,5127,0,0,647,radiant
19672354,0,3,4,0,9,15,4,375,13124,11003,66,6,False,1,6,3,45,106,1,4080778303,0,42,5,10,128,0,9,4,17,0.46938777,24506,22545,865,1,1,345,dire
311360822,66,1,0,0,0,7,6,736,62372,0,12,12,False,4,12,3,64,411,1,4080778303,0,171,0,2,129,1,11,0,0,0.7346939,48097,37968,12773,6,1,581,dire
26771994,2,3,1,0,4,14,3,381,16507,34015,91,2,False,2,2,3,44,71,1,4080778303,0,37,0,2,130,1,7,0,0,0.7346939,24898,36399,985,0,1,557,dire
88271237,37,4,3,0,9,9,0,509,50332,0,2,18,False,3,18,1,97,163,3,4080778303,0,133,0,0,131,0,8,0,0,0.67346936,33263,34896,415,0,1,534,dire
94054712,31,2,2,0,8,13,17,591,45115,0,74,10,False,2,10,2,48,307,2,4080778303,0,120,0,0,132,1,7,0,0,0.71428573,38621,36726,4898,2,1,562,dire
125581247,6,1,0,1,0,5,24,546,19005,0,109,6,False,3,7,1,69,255,1,4080856812,0,85,0,0,0,0,5,0,0,0.5294118,19910,19692,1047,1,0,540,radiant
106863163,2,0,0,0,0,7,9,481,20962,48,23,11,False,2,11,2,83,198,2,4080856812,2,18,1,0,1,0,2,0,0,0.5588235,17540,19145,1111,1,0,525,radiant
94296097,1,1,2,0,5,8,0,241,14191,1400,75,5,False,2,5,1,37,8,1,4080856812,0,6,3,13,2,0,1,3,2,0.6764706,8788,11669,0,0,0,320,radiant
101695162,0,1,1,0,3,7,1,259,11552,0,7,6,True,2,6,2,53,50,2,4080856812,2,0,0,4,3,0,5,0,2,0.64705884,9444,14185,0,0,0,389,radiant
94738847,0,1,0,0,0,8,5,315,13828,0,65,5,False,2,5,3,61,81,3,4080856812,1,26,0,0,4,0,2,0,0,0.61764705,11487,15498,44,0,0,425,radiant
19672354,1,2,2,0,4,9,6,521,19981,0,53,5,True,2,5,3,36,123,1,4080856812,0,32,1,6,128,0,4,4,10,0.71428573,18999,19072,4005,5,1,523,dire
311360822,31,1,0,0,0,7,3,666,38263,0,106,15,False,3,15,3,73,176,1,4080856812,0,65,0,0,129,1,5,0,0,0.8857143,24286,26401,5569,3,1,724,dire
26771994,0,0,3,0,6,7,1,377,17077,1669,86,4,True,3,5,1,34,51,3,4080856812,0,17,0,6,130,0,0,0,1,0.8857143,13747,21004,887,0,1,576,dire
88271237,0,0,3,0,12,4,7,430,8505,4527,97,6,False,5,6,1,64,78,3,4080856812,0,58,0,0,131,0,8,1,0,0.8,15680,24542,1022,1,1,673,dire
94054712,10,1,4,0,13,7,1,441,37544,72,22,4,False,3,4,2,65,107,2,4080856812,0,56,3,0,132,0,10,3,0,0.8,16081,19874,66,0,1,545,dire
