minute,radiant_gold_adv,radiant_xp_adv,match_id
77,-24019,-675,3966752666
78,-24369,-675,3966752666
79,-26902,-675,3966752666
80,-27897,-675,3966752666
1,0,0,4061952570
2,-37,-1,4061952570
3,882,642,4061952570
4,675,373,4061952570
5,-351,-529,4061952570
6,446,353,4061952570
7,360,-207,4061952570
8,36,-535,4061952570
9,27,-765,4061952570
10,-1002,-2448,4061952570
11,-1344,-2908,4061952570
12,-239,-2952,4061952570
13,-703,-2859,4061952570
14,-741,-2669,4061952570
15,-1373,-4107,4061952570
16,-1417,-4364,4061952570
17,-413,-4429,4061952570
18,-850,-6182,4061952570
19,-2023,-6603,4061952570
20,-1831,-6306,4061952570
21,-2423,-6281,4061952570
22,-2296,-4017,4061952570
23,-545,-3777,4061952570
24,1846,1436,4061952570
25,2271,1899,4061952570
26,1395,-315,4061952570
27,1142,538,4061952570
28,2299,3738,4061952570
29,3506,3512,4061952570
30,3993,5297,4061952570
31,4099,4639,4061952570
32,3551,787,4061952570
33,2565,-1164,4061952570
34,3550,-221,4061952570
35,2750,-3546,4061952570
36,4663,705,4061952570
37,3420,-1859,4061952570
38,1953,-2764,4061952570
39,2900,1961,4061952570
40,2915,3046,4061952570
41,1827,2228,4061952570
42,136,-4124,4061952570
43,-2474,-4369,4061952570
44,-1922,-4426,4061952570
45,-364,-4642,4061952570
46,-886,-4953,4061952570
47,5488,3914,4061952570
48,5851,3992,4061952570
49,4999,1447,4061952570
50,5789,1446,4061952570
51,3545,-1197,4061952570
52,-642,141,4061952570
53,-1952,-684,4061952570
54,-4078,-2007,4061952570
55,-5668,-1766,4061952570
56,-4674,-298,4061952570
57,-6516,-208,4061952570
58,-5815,-132,4061952570
1,0,0,4080778303
2,25,-113,4080778303
3,-133,-140,4080778303
4,-317,-576,4080778303
5,51,252,4080778303
6,475,644,4080778303
7,665,760,4080778303
8,513,132,4080778303
9,451,357,4080778303
10,159,-81,4080778303
11,843,-311,4080778303
12,-144,-1201,4080778303
13,-491,-2441,4080778303
14,-1678,-4778,4080778303
15,-1399,-3895,4080778303
16,-1462,-3933,4080778303
17,-3552,-7223,4080778303
18,-3573,-7924,4080778303
19,-994,-3067,4080778303
20,-1299,-3103,4080778303
21,-1840,-4055,4080778303
22,-878,-2401,4080778303
23,-1577,-3831,4080778303
24,-2801,-5300,4080778303
25,-3000,-5719,4080778303
26,-4049,-5250,4080778303
27,-6354,-7526,4080778303
28,-6872,-4708,4080778303
29,-3319,1948,4080778303
30,-3420,1668,4080778303
31,-2190,7215,4080778303
32,-1321,8554,4080778303
33,-1541,7599,4080778303
34,-3165,4411,4080778303
35,-3372,3906,4080778303
36,826,10866,4080778303
37,6192,15122,4080778303
38,6606,16333,4080778303
39,5913,14559,4080778303
