end,last_death,match_id,start
1697,1682,4074356696,1647
1867,1852,4074356696,1824
2086,2071,4074356696,2021
2445,2430,4074356696,2388
2835,2820,4074356696,2796
3045,3030,4074356696,3004
3329,3314,4074356696,3286
3424,3409,4074356696,3357
848,833,4063465788,815
929,914,4063465788,889
1063,1048,4063465788,1013
1393,1378,4063465788,1347
1512,1497,4063465788,1474
1616,1601,4063465788,1577
1713,1698,4063465788,1677
2279,2264,4063465788,2236
2514,2499,4063465788,2466
2606,2591,4063465788,2545
451,436,4066751467,408
532,517,4066751467,492
775,760,4066751467,730
1333,1318,4066751467,1290
1530,1515,4066751467,1490
1995,1980,4066751467,1953
2160,2145,4066751467,2109
2367,2352,4066751467,2307
2414,2399,4066751467,2372
2870,2855,4066751467,2827
2940,2925,4066751467,2892
843,828,4063131418,797
966,951,4063131418,926
1010,995,4063131418,966
1344,1329,4063131418,1294
1967,1952,4063131418,1897
2344,2329,4063131418,2308
2629,2614,4063131418,2591
2837,2822,4063131418,2803
2867,2852,4063131418,2825
3148,3133,4063131418,3112
3235,3220,4063131418,3193
419,404,3966088418,371
1016,1001,3966088418,956
1329,1314,3966088418,1276
1482,1467,3966088418,1446
1839,1824,3966088418,1800
2029,2014,3966088418,1980
2141,2126,3966088418,2092
2250,2235,3966088418,2191
2416,2401,3966088418,2371
2594,2579,3966088418,2534
2635,2620,3966088418,2597
1134,1119,4065084843,1047
1239,1224,4065084843,1195
1472,1457,4065084843,1398
1690,1675,4065084843,1619
1714,1699,4065084843,1675
1836,1821,4065084843,1783
1977,1962,4065084843,1937
2220,2205,4065084843,2185
928,913,3973023989,882
953,938,3973023989,915
1177,1162,3973023989,1133
1335,1320,3973023989,1296
1451,1436,3973023989,1401
1527,1512,3973023989,1487
1739,1724,3973023989,1693
2117,2102,3973023989,2059
2374,2359,3973023989,2320
2439,2424,3973023989,2397
2815,2800,3973023989,2771
244,229,4076314248,203
1303,1288,4076314248,1251
1404,1389,4076314248,1350
1650,1635,4076314248,1611
2106,2091,4076314248,2055
2177,2162,4076314248,2138
2221,2206,4076314248,2166
2787,2772,4076314248,2745
2999,2984,4076314248,2954
3280,3265,4076314248,3246
1093,1078,3963622811,1031
1489,1474,3963622811,1427
1557,1542,3963622811,1507
1602,1587,3963622811,1568
1895,1880,3963622811,1844
2304,2289,3963622811,2254
2808,2793,3963622811,2764
3010,2995,3963622811,2960
303,288,3969620539,254
686,671,3969620539,633
786,771,3969620539,746
1177,1162,3969620539,1136
1224,1209,3969620539,1187
1399,1384,3969620539,1364
1860,1845,3969620539,1811
2177,2162,3969620539,2125
2286,2271,3969620539,2227
2399,2384,3969620539,2357
2525,2510,3969620539,2479
2770,2755,3969620539,2717
803,788,4062016236,762
1730,1715,4062016236,1678
2115,2100,4062016236,2064
2404,2389,4062016236,2341
2703,2688,4062016236,2646
3075,3060,4062016236,3032
3217,3202,4062016236,3158
338,323,4080723031,292
688,673,4080723031,615
770,755,4080723031,717
849,834,4080723031,798
999,984,4080723031,955
1141,1126,4080723031,1109
1303,1288,4080723031,1255
1429,1414,4080723031,1392
1732,1717,4080723031,1682
1824,1809,4080723031,1785
1997,1982,4080723031,1937
2055,2040,4080723031,2006
585,570,3972633082,542
932,917,3972633082,894
1270,1255,3972633082,1208
1639,1624,3972633082,1597
1892,1877,3972633082,1844
1972,1957,3972633082,1931
2307,2292,3972633082,2267
2730,2715,3972633082,2675
2751,2736,3972633082,2716
3144,3129,3972633082,3081
3865,3850,3972633082,3803
217,202,3967872144,157
449,434,3967872144,414
675,660,3967872144,632
834,819,3967872144,801
1843,1828,3967872144,1805
2319,2304,3967872144,2267
2444,2429,3967872144,2405
2687,2672,3967872144,2620
2988,2973,3967872144,2943
3061,3046,3967872144,3020
1413,1398,4078412913,1369
1611,1596,4078412913,1563
2715,2700,4078412913,2653
3281,3266,4078412913,3219
3360,3345,4078412913,3320
3389,3374,4078412913,3349
629,614,3963748898,569
1908,1893,3963748898,1874
2015,2000,3963748898,1959
2457,2442,3963748898,2400
3299,3284,3963748898,3259
4084,4069,3963748898,4044
4257,4242,3963748898,4207
734,719,4063643412,696
923,908,4063643412,889
1332,1317,4063643412,1278
1387,1372,4063643412,1338
1545,1530,4063643412,1481
1688,1673,4063643412,1634
1989,1974,4063643412,1949
2205,2190,4063643412,2161
2597,2582,4063643412,2554
2812,2797,4063643412,2768
410,395,3960868114,361
806,791,3960868114,759
891,876,3960868114,845
1428,1413,3960868114,1375
1712,1697,3960868114,1669
2395,2380,3960868114,2354
2989,2974,3960868114,2958
3161,3146,3960868114,3111
3306,3291,3960868114,3255
3357,3342,3960868114,3311
1176,1161,4066988194,1132
1271,1256,4066988194,1213
1864,1849,4066988194,1789
1990,1975,4066988194,1942
2134,2119,4066988194,2091
2163,2148,4066988194,2124
2393,2378,4066988194,2338
2781,2766,4066988194,2738
2984,2969,4066988194,2934
3345,3330,4066988194,3312
3428,3413,4066988194,3379
461,446,3967396766,420
1067,1052,3967396766,1009
1364,1349,3967396766,1322
1453,1438,3967396766,1407
1581,1566,3967396766,1530
1684,1669,3967396766,1645
1788,1773,3967396766,1719
1872,1857,3967396766,1826
2254,2239,3967396766,2202
660,645,4064706272,615
750,735,4064706272,707
898,883,4064706272,851
1209,1194,4064706272,1173
1291,1276,4064706272,1228
1320,1305,4064706272,1279
1952,1937,4064706272,1915
2048,2033,4064706272,2001
2169,2154,4064706272,2125
2347,2332,4064706272,2288
2676,2661,4064706272,2622
317,302,4061802430,277
836,821,4061802430,768
984,969,4061802430,941
1149,1134,4061802430,1091
1591,1576,4061802430,1544
1821,1806,4061802430,1762
2264,2249,4061802430,2218
2489,2474,4061802430,2417
2621,2606,4061802430,2580
408,393,4061721528,372
570,555,4061721528,525
725,710,4061721528,680
1295,1280,4061721528,1253
1713,1698,4061721528,1636
2105,2090,4061721528,2056
2219,2204,4061721528,2174
2276,2261,4061721528,2234
2595,2580,4061721528,2555
2655,2640,4061721528,2611
2766,2751,4061721528,2711
589,574,4065140946,553
1022,1007,4065140946,973
1372,1357,4065140946,1326
1711,1696,4065140946,1661
2540,2525,4065140946,2489
2915,2900,4065140946,2863
3095,3080,4065140946,3054
